proto_path	message	field	number	type	label	wire_type
campfire_event_default.proto	CampfireEventDefault	version	1	uint32	optional	0
campfire_event_default.proto	CampfireEventDefault	id	2	string	optional	2
campfire_event_default.proto	CampfireEventDefault	type	3	string	optional	2
campfire_event_default.proto	CampfireEventDefault	sourceTimeMillis	4	int64	optional	0
campfire_event_default.proto	CampfireEventDefault	utcOffset	5	string	optional	2
campfire_event_default.proto	CampfireEventDefault	userId	6	string	optional	2
campfire_event_default.proto	CampfireEventDefault	sessionId	7	string	optional	2
campfire_event_default.proto	CampfireEventDefault	applicationName	8	string	optional	2
campfire_event_default.proto	CampfireEventDefault	applicationVersion	9	string	optional	2
campfire_event_default.proto	CampfireEventDefault	platformName	10	string	optional	2
campfire_event_default.proto	CampfireEventDefault	platformVersion	11	string	optional	2
campfire_event_default.proto	CampfireEventDefault	locale	12	string	optional	2
campfire_event_default.proto	CampfireEventDefault	graphName	13	string	optional	2
campfire_event_default.proto	CampfireEventDefault	metrics	14	CampfireEventDefault.MetricsEntry	repeated	2
campfire_event_default.proto	CampfireEventDefault	attributes	15	CampfireEventDefault.AttributesEntry	repeated	2
campfire_event_default.proto	CampfireEventDefault	context	16	CampfireEventDefault.ContextData	optional	2
campfire_event_default.proto	CampfireEventDefault	eventPriority	17	int32	optional	0
campfire_event_default.proto	CampfireEventDefault.ContextData	world_id	1	string	optional	2
campfire_event_default.proto	CampfireEventDefault.ContextData	hub_id	2	string	optional	2
campfire_event_default.proto	CampfireEventDefault.ContextData	player	3	string	optional	2
campfire_event_default.proto	CampfireEventDefault.ContextData	guild_id	4	string	optional	2
campfire_event_default.proto	CampfireEventDefault.ContextData	character_id	5	string	optional	2
campfire_event_default.proto	CampfireEventDefault.ContextData	persona_id	6	string	optional	2
campfire_event_default.proto	CampfireEventDefault.ContextData	prefabName	7	string	optional	2
campfire_event_default.proto	CampfireEventDefault.ContextData	territory_id	8	sint32	optional	0
campfire_event_default.proto	CampfireEventDefault.ContextData	poi_id	9	sint32	optional	0
campfire_event_default.proto	CampfireEventDefault.ContextData	xpos	10	float	optional	5
campfire_event_default.proto	CampfireEventDefault.ContextData	ypos	11	float	optional	5
campfire_event_default.proto	CampfireEventDefault.ContextData	zpos	12	float	optional	5
campfire_event_default.proto	CampfireEventDefault.ContextData	host_world_id	13	string	optional	2
campfire_event_default.proto	CampfireEventDefault.ContextData	level	14	sint32	optional	0
campfire_event_default.proto	CampfireEventDefault.ContextData	IsGM	15	bool	optional	0
campfire_event_default.proto	CampfireEventDefault.ContextData	owned_expansion	16	double	optional	1
campfire_event_default.proto	CampfireEventDefault.ContextData	faction_type	17	CampfireEventDefault.FactionType	optional	0
campfire_event_default.proto	CampfireEventDefault.ContextData	pvp_flag_state	18	bool	optional	0
campfire_event_default.proto	CampfireEventDefault.ContextData	objective_id	19	string	optional	2
campfire_event_default.proto	CampfireEventDefault.ContextData	test_new	20	string	optional	2
campfire_event_default.proto	CampfireEventDefault.ContextData	test_new_2	21	string	optional	2
campfire_event_default.proto	CampfireEventDefault.MetricsEntry	key	1	string	optional	2
campfire_event_default.proto	CampfireEventDefault.MetricsEntry	value	2	double	optional	1
campfire_event_default.proto	CampfireEventDefault.AttributesEntry	key	1	string	optional	2
campfire_event_default.proto	CampfireEventDefault.AttributesEntry	value	2	string	optional	2
google/protobuf/descriptor.proto	google.protobuf.FileDescriptorSet	file	1	google.protobuf.FileDescriptorProto	repeated	2
google/protobuf/descriptor.proto	google.protobuf.FileDescriptorProto	name	1	string	optional	2
google/protobuf/descriptor.proto	google.protobuf.FileDescriptorProto	package	2	string	optional	2
google/protobuf/descriptor.proto	google.protobuf.FileDescriptorProto	dependency	3	string	repeated	2
google/protobuf/descriptor.proto	google.protobuf.FileDescriptorProto	public_dependency	10	int32	repeated	0 (or 2 if packed)
google/protobuf/descriptor.proto	google.protobuf.FileDescriptorProto	weak_dependency	11	int32	repeated	0 (or 2 if packed)
google/protobuf/descriptor.proto	google.protobuf.FileDescriptorProto	message_type	4	google.protobuf.DescriptorProto	repeated	2
google/protobuf/descriptor.proto	google.protobuf.FileDescriptorProto	enum_type	5	google.protobuf.EnumDescriptorProto	repeated	2
google/protobuf/descriptor.proto	google.protobuf.FileDescriptorProto	service	6	google.protobuf.ServiceDescriptorProto	repeated	2
google/protobuf/descriptor.proto	google.protobuf.FileDescriptorProto	extension	7	google.protobuf.FieldDescriptorProto	repeated	2
google/protobuf/descriptor.proto	google.protobuf.FileDescriptorProto	options	8	google.protobuf.FileOptions	optional	2
google/protobuf/descriptor.proto	google.protobuf.FileDescriptorProto	source_code_info	9	google.protobuf.SourceCodeInfo	optional	2
google/protobuf/descriptor.proto	google.protobuf.FileDescriptorProto	syntax	12	string	optional	2
google/protobuf/descriptor.proto	google.protobuf.DescriptorProto	name	1	string	optional	2
google/protobuf/descriptor.proto	google.protobuf.DescriptorProto	field	2	google.protobuf.FieldDescriptorProto	repeated	2
google/protobuf/descriptor.proto	google.protobuf.DescriptorProto	extension	6	google.protobuf.FieldDescriptorProto	repeated	2
google/protobuf/descriptor.proto	google.protobuf.DescriptorProto	nested_type	3	google.protobuf.DescriptorProto	repeated	2
google/protobuf/descriptor.proto	google.protobuf.DescriptorProto	enum_type	4	google.protobuf.EnumDescriptorProto	repeated	2
google/protobuf/descriptor.proto	google.protobuf.DescriptorProto	extension_range	5	google.protobuf.DescriptorProto.ExtensionRange	repeated	2
google/protobuf/descriptor.proto	google.protobuf.DescriptorProto	oneof_decl	8	google.protobuf.OneofDescriptorProto	repeated	2
google/protobuf/descriptor.proto	google.protobuf.DescriptorProto	options	7	google.protobuf.MessageOptions	optional	2
google/protobuf/descriptor.proto	google.protobuf.DescriptorProto	reserved_range	9	google.protobuf.DescriptorProto.ReservedRange	repeated	2
google/protobuf/descriptor.proto	google.protobuf.DescriptorProto	reserved_name	10	string	repeated	2
google/protobuf/descriptor.proto	google.protobuf.DescriptorProto.ExtensionRange	start	1	int32	optional	0
google/protobuf/descriptor.proto	google.protobuf.DescriptorProto.ExtensionRange	end	2	int32	optional	0
google/protobuf/descriptor.proto	google.protobuf.DescriptorProto.ExtensionRange	options	3	google.protobuf.ExtensionRangeOptions	optional	2
google/protobuf/descriptor.proto	google.protobuf.DescriptorProto.ReservedRange	start	1	int32	optional	0
google/protobuf/descriptor.proto	google.protobuf.DescriptorProto.ReservedRange	end	2	int32	optional	0
google/protobuf/descriptor.proto	google.protobuf.ExtensionRangeOptions	uninterpreted_option	999	google.protobuf.UninterpretedOption	repeated	2
google/protobuf/descriptor.proto	google.protobuf.FieldDescriptorProto	name	1	string	optional	2
google/protobuf/descriptor.proto	google.protobuf.FieldDescriptorProto	number	3	int32	optional	0
google/protobuf/descriptor.proto	google.protobuf.FieldDescriptorProto	label	4	google.protobuf.FieldDescriptorProto.Label	optional	0
google/protobuf/descriptor.proto	google.protobuf.FieldDescriptorProto	type	5	google.protobuf.FieldDescriptorProto.Type	optional	0
google/protobuf/descriptor.proto	google.protobuf.FieldDescriptorProto	type_name	6	string	optional	2
google/protobuf/descriptor.proto	google.protobuf.FieldDescriptorProto	extendee	2	string	optional	2
google/protobuf/descriptor.proto	google.protobuf.FieldDescriptorProto	default_value	7	string	optional	2
google/protobuf/descriptor.proto	google.protobuf.FieldDescriptorProto	oneof_index	9	int32	optional	0
google/protobuf/descriptor.proto	google.protobuf.FieldDescriptorProto	json_name	10	string	optional	2
google/protobuf/descriptor.proto	google.protobuf.FieldDescriptorProto	options	8	google.protobuf.FieldOptions	optional	2
google/protobuf/descriptor.proto	google.protobuf.FieldDescriptorProto	proto3_optional	17	bool	optional	0
google/protobuf/descriptor.proto	google.protobuf.OneofDescriptorProto	name	1	string	optional	2
google/protobuf/descriptor.proto	google.protobuf.OneofDescriptorProto	options	2	google.protobuf.OneofOptions	optional	2
